,Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating,Unnamed: 0,Unnamed: 0.1
0,692-92-5582,B,Abuja,Member,Female,Food and beverages,19742.4,3,2961.36,62188.55999999999,2/20/2019,13:27,Card,59227.2,4.761904762,2961.36,5.9,,
1,351-62-0822,B,Abuja,Member,Female,Fashion accessories,5212.8,4,1042.5600000000004,21893.76,2/6/2019,18:07,Epay,20851.2,4.761904762,1042.5600000000004,4.5,,
2,529-56-3974,B,Abuja,Member,Male,Electronic accessories,9183.6,4,1836.72,38571.12,3/9/2019,17:03,Cash,36734.4,4.761904762,1836.72,6.8,,
3,299-46-1805,B,Abuja,Member,Female,Sports and travel,33739.2,6,10121.76,212556.96,1/15/2019,16:19,Cash,202435.2,4.761904762,10121.76,4.5,,
4,319-50-3348,B,Abuja,Normal,Female,Home and lifestyle,14507.999999999998,2,1450.8000000000004,30466.8,3/11/2019,15:30,Epay,29016.0,4.761904762,1450.8000000000004,4.4,,
5,371-85-5789,B,Abuja,Normal,Male,Health and beauty,31672.800000000007,3,4750.92,99769.32,3/5/2019,10:40,Epay,95018.4,4.761904762,4750.92,5.1,,
6,273-16-6619,B,Abuja,Normal,Male,Home and lifestyle,11952.000000000002,2,1195.2,25099.2,3/15/2019,12:20,Card,23904.000000000004,4.761904762,1195.2,4.4,,
7,649-29-6775,B,Abuja,Normal,Male,Fashion accessories,12067.2,1,603.36,12670.56,2/8/2019,15:31,Cash,12067.2,4.761904762,603.36,6.7,,
8,145-94-9061,B,Abuja,Normal,Female,Food and beverages,31809.6,5,7952.4,167000.4,1/25/2019,19:48,Cash,159048.0,4.761904762,7952.4,9.6,,
9,871-79-8483,B,Abuja,Normal,Male,Fashion accessories,33886.8,5,8471.699999999999,177905.7,2/25/2019,19:39,Card,169434.0,4.761904762,8471.699999999999,4.8,,
10,149-71-6266,B,Abuja,Member,Male,Sports and travel,28105.2,9,12647.34,265594.14,1/28/2019,12:43,Cash,252946.8,4.761904762,12647.34,4.5,,
11,640-49-2076,B,Abuja,Normal,Male,Sports and travel,30160.8,8,12064.32,253350.72,1/10/2019,14:49,Cash,241286.4,4.761904762,12064.32,5.1,,
12,777-82-7220,B,Abuja,Member,Male,Home and lifestyle,10843.2,8,4337.28,91082.88,3/3/2019,13:01,Cash,86745.6,4.761904762,4337.28,7.7,,
13,280-35-5823,B,Abuja,Member,Female,Home and lifestyle,31219.2,1,1560.96,32780.16,1/17/2019,18:45,Epay,31219.2,4.761904762,1560.96,7.9,,
14,354-25-5821,B,Abuja,Member,Female,Sports and travel,24883.2,6,7464.96,156764.15999999995,2/8/2019,13:03,Cash,149299.2,4.761904762,7464.96,5.6,,
15,132-32-9879,B,Abuja,Member,Female,Electronic accessories,33825.6,4,6765.120000000001,142067.52,3/9/2019,18:00,Cash,135302.4,4.761904762,6765.120000000001,9.5,,
16,370-41-7321,B,Abuja,Member,Male,Health and beauty,20408.4,9,9183.78,192859.38,2/27/2019,17:24,Card,183675.6,4.761904762,9183.78,8.4,,
17,727-46-3608,B,Abuja,Member,Female,Food and beverages,7203.6,9,3241.62,68074.02,2/6/2019,15:47,Epay,64832.4,4.761904762,3241.62,4.1,,
18,669-54-1719,B,Abuja,Member,Male,Electronic accessories,6814.8,6,2044.44,42933.24,2/10/2019,12:45,Card,40888.8,4.761904762,2044.44,8.1,,
19,616-24-2851,B,Abuja,Member,Female,Fashion accessories,6433.200000000002,4,1286.64,27019.44,3/22/2019,14:42,Epay,25732.800000000007,4.761904762,1286.64,6.5,,
20,242-55-6721,B,Abuja,Normal,Male,Home and lifestyle,5817.6,2,581.76,12216.96,3/7/2019,11:49,Epay,11635.2,4.761904762,581.76,6.5,,
21,347-34-2234,B,Abuja,Member,Female,Sports and travel,19825.2,9,8921.34,187348.14,2/3/2019,13:40,Epay,178426.8,4.761904762,8921.34,10.0,,
22,853-23-2453,B,Abuja,Member,Male,Health and beauty,27266.4,4,5453.28,114518.88,2/14/2019,14:35,Cash,109065.6,4.761904762,5453.28,7.6,,
23,109-28-2512,B,Abuja,Member,Female,Fashion accessories,35139.6,6,10541.88,221379.48,1/7/2019,15:01,Epay,210837.6,4.761904762,10541.88,9.9,,
24,510-95-6347,B,Abuja,Member,Female,Food and beverages,17467.2,3,2620.08,55021.68,3/5/2019,18:17,Epay,52401.6,4.761904762,2620.08,4.0,,
25,847-38-7188,B,Abuja,Normal,Female,Food and beverages,34804.8,3,5220.72,109635.12,1/26/2019,19:56,Epay,104414.4,4.761904762,5220.72,6.4,,
26,318-68-5053,B,Abuja,Normal,Female,Health and beauty,27716.4,6,8314.92,174613.31999999998,2/27/2019,17:55,Cash,166298.4,4.761904762,8314.92,6.1,,
27,152-08-9985,B,Abuja,Member,Male,Health and beauty,23169.6,9,10426.32,218952.72,3/12/2019,12:09,Card,208526.4,4.761904762,10426.32,8.6,,
28,766-85-7061,B,Abuja,Normal,Male,Health and beauty,31633.2,10,15816.6,332148.6,3/29/2019,10:25,Epay,316332.0,4.761904762,15816.6,5.1,,
29,733-01-9107,B,Abuja,Normal,Male,Home and lifestyle,29772.0,6,8931.6,187563.6,3/5/2019,18:14,Cash,178632.0,4.761904762,8931.6,7.4,,
30,716-39-1409,B,Abuja,Normal,Male,Health and beauty,10926.0,7,3824.1,80306.09999999999,3/19/2019,18:19,Cash,76482.0,4.761904762,3824.1,8.0,,
31,479-26-8945,B,Abuja,Member,Female,Sports and travel,5936.4,2,593.64,12466.44,2/5/2019,11:32,Epay,11872.8,4.761904762,593.64,4.6,,
32,227-78-1148,B,Abuja,Normal,Female,Fashion accessories,26222.4,7,9177.84,192734.64,2/15/2019,12:44,Cash,183556.8,4.761904762,9177.84,8.4,,
33,291-32-1427,B,Abuja,Member,Male,Fashion accessories,7898.4000000000015,5,1974.6,41466.6,3/5/2019,12:29,Epay,39492.0,4.761904762,1974.6,5.3,,
34,659-65-8956,B,Abuja,Member,Male,Fashion accessories,18489.6,1,924.48,19414.08,1/16/2019,15:26,Epay,18489.6,4.761904762,924.48,5.2,,
35,378-24-2715,B,Abuja,Normal,Male,Home and lifestyle,19238.4,2,1923.84,40400.64,1/20/2019,20:38,Epay,38476.8,4.761904762,1923.84,4.1,,
36,219-22-9386,B,Abuja,Member,Male,Sports and travel,35985.6,9,16193.52,340063.92,3/9/2019,17:26,Card,323870.4,4.761904762,16193.52,4.2,,
37,268-27-6179,B,Abuja,Member,Female,Fashion accessories,20329.2,8,8131.68,170765.28,3/9/2019,14:57,Epay,162633.6,4.761904762,8131.68,7.3,,
38,549-84-7482,B,Abuja,Normal,Female,Sports and travel,32500.8,9,14625.36,307132.56,2/8/2019,11:15,Epay,292507.2,4.761904762,14625.36,7.2,,
39,191-10-6171,B,Abuja,Normal,Female,Fashion accessories,14263.2,7,4992.12,104834.52,1/25/2019,13:18,Cash,99842.4,4.761904762,4992.12,7.5,,
40,695-51-0018,B,Abuja,Normal,Female,Sports and travel,12542.4,4,2508.48,52678.08,2/10/2019,18:36,Cash,50169.60000000001,4.761904762,2508.48,7.4,,
41,590-83-4591,B,Abuja,Member,Male,Electronic accessories,31482.0,6,9444.6,198336.6,2/17/2019,14:40,Card,188892.00000000003,4.761904762,9444.6,8.8,,
42,241-72-9525,B,Abuja,Normal,Male,Sports and travel,18687.6,10,9343.8,196219.8,2/16/2019,12:21,Cash,186876.0,4.761904762,9343.8,8.2,,
43,262-47-2794,B,Abuja,Member,Male,Home and lifestyle,25869.6,8,10347.84,217304.64,3/6/2019,15:07,Card,206956.8,4.761904762,10347.84,6.2,,
44,608-96-3517,B,Abuja,Member,Female,Fashion accessories,32954.4,4,6590.88,138408.48,3/23/2019,19:20,Card,131817.6,4.761904762,6590.88,4.8,,
45,279-74-2924,B,Abuja,Member,Male,Electronic accessories,25981.2,1,1299.06,27280.26,1/4/2019,19:40,Cash,25981.2,4.761904762,1299.06,6.1,,
46,307-85-2293,B,Abuja,Normal,Male,Home and lifestyle,18100.8,5,4525.2,95029.2,3/7/2019,13:58,Epay,90504.0,4.761904762,4525.2,9.7,,
47,743-04-1105,B,Abuja,Member,Male,Health and beauty,34999.2,9,15749.639999999998,330742.44,3/30/2019,14:43,Epay,314992.8,4.761904762,15749.639999999998,6.0,,
48,423-57-2993,B,Abuja,Normal,Male,Sports and travel,33620.4,6,10086.12,211808.52,3/27/2019,19:18,Epay,201722.4,4.761904762,10086.12,10.0,,
49,548-46-9322,B,Abuja,Normal,Male,Food and beverages,14364.0,10,7182.0,150822.0,2/20/2019,15:24,Card,143640.0,4.761904762,7182.0,5.9,,
50,505-02-0892,B,Abuja,Member,Male,Health and beauty,15325.2,8,6130.08,128731.68,2/25/2019,14:12,Epay,122601.6,4.761904762,6130.08,5.6,,
51,316-55-4634,B,Abuja,Member,Male,Food and beverages,28818.0,5,7204.5,151294.5,1/26/2019,12:45,Card,144090.0,4.761904762,7204.5,9.4,,
52,608-27-6295,B,Abuja,Member,Male,Electronic accessories,19040.4,6,5712.12,119954.52,1/19/2019,17:34,Card,114242.4,4.761904762,5712.12,9.8,,
53,414-12-7047,B,Abuja,Normal,Male,Food and beverages,7124.4,8,2849.76,59844.96,1/18/2019,12:04,Epay,56995.2,4.761904762,2849.76,8.7,,
54,895-66-0685,B,Abuja,Member,Male,Food and beverages,6508.799999999998,3,976.32,20502.72,3/5/2019,19:46,Epay,19526.4,4.761904762,976.32,8.0,,
55,305-14-0245,B,Abuja,Member,Female,Home and lifestyle,34016.4,8,13606.56,285737.76,3/3/2019,19:00,Epay,272131.2,4.761904762,13606.56,7.5,,
56,732-04-5373,B,Abuja,Member,Male,Home and lifestyle,16729.2,4,3345.84,70262.64,2/8/2019,10:53,Cash,66916.8,4.761904762,3345.84,7.0,,
57,284-34-9626,B,Abuja,Normal,Female,Home and lifestyle,27734.4,3,4160.16,87363.36,2/11/2019,10:39,Card,83203.2,4.761904762,4160.16,7.2,,
58,437-58-8131,B,Abuja,Normal,Female,Fashion accessories,26467.2,2,2646.7200000000007,55581.12,1/15/2019,13:41,Epay,52934.4,4.761904762,2646.7200000000007,4.6,,
59,641-43-2399,B,Abuja,Normal,Male,Home and lifestyle,9198.0,4,1839.6,38631.6,1/26/2019,20:23,Epay,36792.0,4.761904762,1839.6,5.7,,
60,542-41-0513,B,Abuja,Member,Female,Electronic accessories,20696.4,4,4139.28,86924.88,3/15/2019,11:57,Cash,82785.6,4.761904762,4139.28,6.6,,
61,875-46-5808,B,Abuja,Member,Male,Health and beauty,9324.0,10,4662.0,97902.0,2/6/2019,14:51,Epay,93240.0,4.761904762,4662.0,8.7,,
62,394-43-4238,B,Abuja,Member,Male,Home and lifestyle,6397.2,5,1599.3,33585.3,2/15/2019,12:42,Card,31986.0,4.761904762,1599.3,5.4,,
63,573-58-9734,B,Abuja,Normal,Female,Fashion accessories,10933.2,3,1639.98,34439.579999999994,3/28/2019,13:41,Epay,32799.6,4.761904762,1639.98,5.1,,
64,817-69-8206,B,Abuja,Normal,Female,Electronic accessories,35902.8,9,16156.26,339281.46,3/2/2019,19:42,Card,323125.2,4.761904762,16156.26,6.5,,
65,142-63-6033,B,Abuja,Normal,Male,Home and lifestyle,33249.6,5,8312.4,174560.4,3/20/2019,19:17,Epay,166248.0,4.761904762,8312.4,4.9,,
66,656-16-1063,B,Abuja,Normal,Male,Sports and travel,16711.2,3,2506.68,52640.27999999999,1/4/2019,13:24,Card,50133.6,4.761904762,2506.68,4.4,,
67,891-58-8335,B,Abuja,Member,Female,Sports and travel,10659.6,7,3730.86,78348.06,3/11/2019,15:53,Cash,74617.2,4.761904762,3730.86,6.5,,
68,560-30-5617,B,Abuja,Normal,Female,Sports and travel,8917.2,5,2229.3,46815.3,3/24/2019,18:27,Cash,44586.0,4.761904762,2229.3,8.5,,
69,549-03-9315,B,Abuja,Normal,Male,Fashion accessories,34153.200000000004,8,13661.28,286886.88,2/12/2019,12:58,Epay,273225.60000000003,4.761904762,13661.28,8.7,,
70,790-29-1172,B,Abuja,Normal,Female,Food and beverages,20642.4,3,3096.36,65023.55999999999,3/10/2019,18:59,Card,61927.2,4.761904762,3096.36,7.9,,
71,239-36-3640,B,Abuja,Normal,Male,Electronic accessories,16326.0,6,4897.8,102853.8,1/31/2019,13:44,Epay,97956.0,4.761904762,4897.8,6.1,,
72,468-01-2051,B,Abuja,Normal,Male,Food and beverages,22348.8,7,7822.080000000001,164263.68,3/6/2019,13:46,Epay,156441.6,4.761904762,7822.080000000001,5.4,,
73,836-82-5858,B,Abuja,Member,Male,Health and beauty,24973.2,9,11237.94,235996.74,1/26/2019,19:14,Epay,224758.8,4.761904762,11237.94,4.0,,
74,466-61-5506,B,Abuja,Member,Female,Electronic accessories,32652.0,6,9795.6,205707.6,2/26/2019,10:52,Cash,195912.00000000003,4.761904762,9795.6,5.3,,
75,289-65-5721,B,Abuja,Normal,Female,Fashion accessories,29293.2,2,2929.32,61515.72,1/26/2019,19:28,Cash,58586.4,4.761904762,2929.32,6.5,,
76,545-46-3100,B,Abuja,Member,Female,Electronic accessories,3812.4,3,571.86,12009.06,3/12/2019,13:52,Card,11437.2,4.761904762,571.86,8.7,,
77,418-02-5978,B,Abuja,Normal,Female,Health and beauty,30272.4,9,13622.58,286074.18,2/11/2019,10:54,Cash,272451.6,4.761904762,13622.58,8.0,,
78,269-04-5750,B,Abuja,Member,Male,Fashion accessories,26575.2,4,5315.04,111615.84,2/21/2019,18:31,Cash,106300.8,4.761904762,5315.04,6.7,,
79,346-84-3103,B,Abuja,Member,Female,Electronic accessories,4759.2,5,1189.8,24985.8,3/2/2019,19:26,Cash,23796.0,4.761904762,1189.8,4.3,,
80,376-02-8238,B,Abuja,Normal,Male,Home and lifestyle,33793.200000000004,8,13517.28,283862.88,2/2/2019,18:42,Card,270345.60000000003,4.761904762,13517.28,8.3,,
81,866-05-7563,B,Abuja,Member,Female,Electronic accessories,29304.000000000004,3,4395.6,92307.6,2/9/2019,19:43,Cash,87912.0,4.761904762,4395.6,4.8,,
82,785-13-7708,B,Abuja,Normal,Male,Food and beverages,26301.6,7,9205.56,193316.76,1/14/2019,19:06,Card,184111.2,4.761904762,9205.56,4.2,,
83,845-51-0542,B,Abuja,Member,Male,Food and beverages,16758.0,9,7541.1,158363.1,2/2/2019,15:34,Epay,150822.0,4.761904762,7541.1,6.4,,
84,110-48-7033,B,Abuja,Member,Male,Fashion accessories,11743.2,4,2348.64,49321.44,1/29/2019,14:12,Cash,46972.8,4.761904762,2348.64,9.0,,
85,655-85-5130,B,Abuja,Member,Female,Fashion accessories,13787.999999999998,4,2757.6,57909.60000000001,3/13/2019,19:22,Cash,55151.99999999999,4.761904762,2757.6,5.7,,
86,154-74-7179,B,Abuja,Normal,Male,Sports and travel,19602.0,1,980.1,20582.1,2/26/2019,19:24,Epay,19602.0,4.761904762,980.1,7.9,,
87,571-94-0759,B,Abuja,Member,Female,Food and beverages,26856.0,10,13427.999999999998,281988.0,1/8/2019,20:55,Cash,268560.0,4.761904762,13427.999999999998,9.5,,
88,783-09-1637,B,Abuja,Normal,Female,Sports and travel,24274.800000000007,5,6068.700000000002,127442.7,3/6/2019,18:13,Epay,121374.0,4.761904762,6068.700000000002,6.3,,
89,477-24-6490,B,Abuja,Normal,Female,Health and beauty,35895.6,6,10768.68,226142.28,2/26/2019,16:52,Epay,215373.6,4.761904762,10768.68,7.9,,
90,566-19-5475,B,Abuja,Normal,Male,Fashion accessories,17269.2,7,6044.22,126928.62,1/7/2019,20:52,Cash,120884.4,4.761904762,6044.22,6.2,,
91,498-41-1961,B,Abuja,Normal,Male,Health and beauty,24004.800000000007,5,6001.200000000002,126025.2,2/20/2019,18:01,Cash,120024.0,4.761904762,6001.200000000002,7.6,,
92,283-79-9594,B,Abuja,Normal,Female,Food and beverages,17463.6,7,6112.26,128357.46,1/25/2019,13:30,Card,122245.2,4.761904762,6112.26,5.2,,
93,139-20-0155,B,Abuja,Member,Male,Electronic accessories,14507.999999999998,10,7253.999999999999,152334.0,1/24/2019,17:37,Card,145080.0,4.761904762,7253.999999999999,7.0,,
94,585-03-5943,B,Abuja,Normal,Male,Health and beauty,6519.5999999999985,10,3259.8,68455.8,3/13/2019,11:46,Epay,65196.0,4.761904762,3259.8,5.9,,
95,573-10-3877,B,Abuja,Member,Male,Health and beauty,14043.6,1,702.18,14745.78,3/12/2019,16:46,Card,14043.6,4.761904762,702.18,4.7,,
96,396-90-2219,B,Abuja,Normal,Female,Electronic accessories,5385.6,8,2154.24,45239.04,2/23/2019,12:29,Cash,43084.8,4.761904762,2154.24,8.6,,
97,532-59-7201,B,Abuja,Member,Male,Sports and travel,28774.800000000007,6,8632.44,181281.24,1/31/2019,14:04,Cash,172648.8,4.761904762,8632.44,5.5,,
98,276-54-0879,B,Abuja,Normal,Male,Sports and travel,35186.4,4,7037.28,147782.88,3/12/2019,19:53,Epay,140745.6,4.761904762,7037.28,6.4,,
99,730-61-8757,B,Abuja,Member,Male,Health and beauty,18406.8,4,3681.36,77308.56,1/25/2019,10:11,Card,73627.2,4.761904762,3681.36,4.0,,
100,868-81-1752,B,Abuja,Normal,Male,Home and lifestyle,7927.2,9,3567.24,74912.04000000001,2/7/2019,18:48,Cash,71344.8,4.761904762,3567.24,6.8,,
101,692-27-8933,B,Abuja,Normal,Female,Sports and travel,20862.0,6,6258.6,131430.6,2/24/2019,13:02,Cash,125172.0,4.761904762,6258.6,5.2,,
102,374-17-3652,B,Abuja,Member,Female,Food and beverages,15415.2,9,6936.840000000001,145673.64,2/5/2019,15:26,Card,138736.8,4.761904762,6936.840000000001,8.9,,
103,378-07-7001,B,Abuja,Member,Male,Electronic accessories,17312.4,3,2596.86,54534.06,2/10/2019,18:23,Card,51937.2,4.761904762,2596.86,7.8,,
104,433-75-6987,B,Abuja,Member,Female,Health and beauty,20149.2,7,7052.22,148096.62,3/5/2019,19:06,Epay,141044.4,4.761904762,7052.22,8.9,,
105,873-95-4984,B,Abuja,Member,Female,Health and beauty,27684.000000000004,7,9689.4,203477.4,2/15/2019,20:21,Cash,193788.0,4.761904762,9689.4,7.7,,
