Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
750-67-8428,A,Lagos,Member,Female,Health and beauty,26888.399999999998,7,9410.94,197629.74,1/5/2019,13:08,Epay,188218.80000000002,4.7619047619999995,9410.94,9.1
631-41-3108,A,Lagos,Normal,Male,Home and lifestyle,16678.8,7,5837.58,122589.18000000001,3/3/2019,13:23,Card,116751.6,4.7619047619999995,5837.58,7.4
123-19-1176,A,Lagos,Member,Male,Health and beauty,20959.2,8,8383.68,176057.28,1/27/2019,20:33,Epay,167673.6,4.7619047619999995,8383.68,8.4
373-73-7910,A,Lagos,Normal,Male,Sports and travel,31071.600000000002,7,10875.06,228376.26,2/8/2019,10:37,Epay,217501.19999999998,4.7619047619999995,10875.06,5.3
355-53-5943,A,Lagos,Member,Female,Electronic accessories,24782.4,6,7434.719999999999,156129.12,2/25/2019,14:36,Epay,148694.4,4.7619047619999995,7434.719999999999,5.8
665-32-9167,A,Lagos,Member,Female,Health and beauty,13053.599999999999,2,1305.3600000000001,27412.56,1/10/2019,17:15,Card,26107.199999999997,4.7619047619999995,1305.3600000000001,7.2
365-64-0515,A,Lagos,Normal,Female,Electronic accessories,16902.0,5,4225.5,88735.5,2/12/2019,10:25,Epay,84510.0,4.7619047619999995,4225.5,7.1
252-56-2699,A,Lagos,Normal,Male,Food and beverages,15548.4,10,7774.2,163258.2,2/7/2019,16:48,Epay,155484.0,4.7619047619999995,7774.2,8.2
829-34-3910,A,Lagos,Normal,Female,Health and beauty,25696.8,10,12848.4,269816.4,3/29/2019,19:21,Cash,256967.99999999997,4.7619047619999995,12848.4,5.7
656-95-9349,A,Lagos,Member,Female,Health and beauty,24814.800000000003,7,8685.18,182388.78,3/11/2019,11:03,Card,173703.6,4.7619047619999995,8685.18,4.6
765-26-6951,A,Lagos,Normal,Male,Sports and travel,26139.6,6,7841.88,164679.48,1/1/2019,10:39,Card,156837.6,4.7619047619999995,7841.88,6.9
