Invoice ID,Branch,City,Customer type,Gender,Product line,Unit price,Quantity,Tax 5%,Total,Date,Time,Payment,cogs,gross margin percentage,gross income,Rating
692-92-5582,B,Abuja,Member,Female,Food and beverages,19742.4,3,2961.36,62188.55999999999,2/20/2019,13:27,Card,59227.2,4.761904762,2961.36,5.9
351-62-0822,B,Abuja,Member,Female,Fashion accessories,5212.8,4,1042.5600000000004,21893.76,2/6/2019,18:07,Epay,20851.2,4.761904762,1042.5600000000004,4.5
529-56-3974,B,Abuja,Member,Male,Electronic accessories,9183.6,4,1836.72,38571.12,3/9/2019,17:03,Cash,36734.4,4.761904762,1836.72,6.8
299-46-1805,B,Abuja,Member,Female,Sports and travel,33739.2,6,10121.76,212556.96,1/15/2019,16:19,Cash,202435.2,4.761904762,10121.76,4.5
319-50-3348,B,Abuja,Normal,Female,Home and lifestyle,14507.999999999998,2,1450.8000000000004,30466.8,3/11/2019,15:30,Epay,29016.0,4.761904762,1450.8000000000004,4.4
371-85-5789,B,Abuja,Normal,Male,Health and beauty,31672.800000000007,3,4750.92,99769.32,3/5/2019,10:40,Epay,95018.4,4.761904762,4750.92,5.1
273-16-6619,B,Abuja,Normal,Male,Home and lifestyle,11952.000000000002,2,1195.2,25099.2,3/15/2019,12:20,Card,23904.000000000004,4.761904762,1195.2,4.4
649-29-6775,B,Abuja,Normal,Male,Fashion accessories,12067.2,1,603.36,12670.56,2/8/2019,15:31,Cash,12067.2,4.761904762,603.36,6.7
145-94-9061,B,Abuja,Normal,Female,Food and beverages,31809.6,5,7952.4,167000.4,1/25/2019,19:48,Cash,159048.0,4.761904762,7952.4,9.6
871-79-8483,B,Abuja,Normal,Male,Fashion accessories,33886.8,5,8471.699999999999,177905.7,2/25/2019,19:39,Card,169434.0,4.761904762,8471.699999999999,4.8
149-71-6266,B,Abuja,Member,Male,Sports and travel,28105.2,9,12647.34,265594.14,1/28/2019,12:43,Cash,252946.8,4.761904762,12647.34,4.5
640-49-2076,B,Abuja,Normal,Male,Sports and travel,30160.8,8,12064.32,253350.72,1/10/2019,14:49,Cash,241286.4,4.761904762,12064.32,5.1
777-82-7220,B,Abuja,Member,Male,Home and lifestyle,10843.2,8,4337.28,91082.88,3/3/2019,13:01,Cash,86745.6,4.761904762,4337.28,7.7
280-35-5823,B,Abuja,Member,Female,Home and lifestyle,31219.2,1,1560.96,32780.16,1/17/2019,18:45,Epay,31219.2,4.761904762,1560.96,7.9
354-25-5821,B,Abuja,Member,Female,Sports and travel,24883.2,6,7464.96,156764.15999999995,2/8/2019,13:03,Cash,149299.2,4.761904762,7464.96,5.6
132-32-9879,B,Abuja,Member,Female,Electronic accessories,33825.6,4,6765.120000000001,142067.52,3/9/2019,18:00,Cash,135302.4,4.761904762,6765.120000000001,9.5
